[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteBloodJuicy_ZA01.34.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteBloodJuicy_ZA01.35.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteCrunch_ZA01.38.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteCrunch_ZA01.39.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteCrunch_ZA01.37.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshBloodyCrunch_ZA01..wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshBloodyCrunch_ZA0_1.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshBloody_ZA01.40.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshCrunch_ZA01.44.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshBloody_ZA01.41.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshCrunch_ZA01.45.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshCrunch_ZA01.46.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshCrunch_ZA01.47.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshCrunch_ZA01.48.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshEat_ZA01.49.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:flesh] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteFleshJuicy_ZA01.50.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:flesh] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteRatCrunch_ZA01.51.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:crunch] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodGutsSpill_S08HO.1.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood, keyword:sfx:guts] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodGutsSpill_S08HO.2.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood, keyword:sfx:guts] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodGutsSpill_S08HO.4.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood, keyword:sfx:guts] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodGutsSpill_S08HO.5.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood, keyword:sfx:guts] | Other: []
